TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Excellenti;1;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Jacobo;30;PN;FT;;;;;;;;FOUND
Dei;37;PN;FT;;;;;;;;FOUND
Valencie;67;PPLN;GENT;http://sws.geonames.org/2509951;Província de València; ; ; ;null;Medieval;VALIDATE
Barchilone;83;UN;UNI;;;not;;;;;UNIDENTIFIED
Vrgeli;97;UN;UNI;;;not;;;;;UNIDENTIFIED
Montpessulani;115;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonsus;136;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Depues;292;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Castiella;848;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Leon;863;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Enrrique;918;PN;FT; ; ;not; ; ; ; ;FOUND
Enrrique;970;PN;FT; ; ;not; ; ; ; ;FOUND
Valladolit;1462;PLN;FT;http://sws.geonames.org/3106672/;Valladolid;not; ; ;null;Medieval;FOUND
Mas;1649;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Onde;1721;PLN;FT;http://sws.geonames.org/6526771; ;not; ; ;null;Medieval;FOUND
Johana;2042;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Et ;2050;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Dios;2075;PN;FT; ; ;not; ; ; ; ;FOUND
Data;2568;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Connoscida;2653;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso ;2726;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Dios;2752;PN;FT;;;;;;;;FOUND
Castiella;2765;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;2778;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;2788;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;2796;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;2808;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;2819;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;2830;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;2842;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Yolant;2874;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Sancho;2932;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
cosa;3440;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;3689;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Aluar;3813;PN;FT;;;;;;;;FOUND
Garcia;3819;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;3829;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Connoscida;3853;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;3926;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;3951;PN;FT;;;;;;;;FOUND
Castiella;3977;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;3991;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;4001;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;4009;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;4021;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;4032;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;4043;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;4055;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Calatraua;4126;PN;FT;;;;;;;;FOUND
Henrric ;4168;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Ferrando;4214;PN;FT; ; ;not; ; ; ; ;FOUND
El;4234;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Henrric;4290;PN;FT; ; ;not; ; ; ; ;FOUND
Xerez;4318;PLN;FT;http://pleiades.stoa.org/places/256091/;Jerez;not;;;null;Medieval;FOUND
Lebrixa;4329;PLN;FT;https://pleiades.stoa.org/places/256322;Lebrija;not;;;null;Medieval;FOUND
Arcos;4342;PLN;FT;http://pleiades.stoa.org/places/255981;Arcos de la Frontera;not;;;null;Medieval;FOUND
Medina;4353;PLN;FT;http://sws.geonames.org/6325382;Madina;not;;;null;Medieval;FOUND
Cot;4404;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Et ;4557;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Calatraua;4644;PN;FT;;;;;;;;FOUND
Calatraua;4710;PN;FT;;;;;;;;FOUND
Fecha;4830;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Aluar;4962;PN;FT;;;;;;;;FOUND
Garcia;4968;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;4978;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Conoscida;5002;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;5072;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;5097;PN;FT;;;;;;;;FOUND
Castiella;5123;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
