Valencie;67;PPLN;GENT;http://sws.geonames.org/2509951;Província de València; ; ; ;null;Medieval;VALIDATE
Castiella;848;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Leon;863;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Valladolit;1462;PLN;FT;http://sws.geonames.org/3106672/;Valladolid;not; ; ;null;Medieval;FOUND
Onde;1721;PLN;FT;http://sws.geonames.org/6526771; ;not; ; ;null;Medieval;FOUND
Castiella;2765;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;2778;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;2788;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;2796;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;2808;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;2819;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;2830;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;2842;PPLN;PPT; ; ;not;;; ; ;VALIDATE
cosa;3440;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;3689;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;3829;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;3977;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;3991;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;4001;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;4009;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;4021;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;4032;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;4043;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;4055;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Xerez;4318;PLN;FT;http://pleiades.stoa.org/places/256091/;Jerez;not;;;null;Medieval;FOUND
Lebrixa;4329;PLN;FT;https://pleiades.stoa.org/places/256322;Lebrija;not;;;null;Medieval;FOUND
Arcos;4342;PLN;FT;http://pleiades.stoa.org/places/255981;Arcos de la Frontera;not;;;null;Medieval;FOUND
Medina;4353;PLN;FT;http://sws.geonames.org/6325382;Madina;not;;;null;Medieval;FOUND
Cot;4404;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Fecha;4830;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;4978;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;5123;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;5137;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;5147;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;5155;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;5167;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
