TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Alfonso;5;PN;FT;;;;;;;;FOUND
Dios;31;PN;FT;;;;;;;;FOUND
Castiella;44;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;57;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;67;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;75;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;87;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;98;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;109;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;119;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Alcala;140;PLN;FT;http://pleiades.stoa.org/places/246352;Alcalá de Henares;not;;;null;Medieval;FOUND
Sepades;185;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;233;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Ferrando;268;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;447;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;497;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;536;PN;FT;;;;;;;;FOUND
Alfonso;1095;PN;FT;;;yes;APLN;;;;FOUND
Molina;1106;PN;FT;;;yes;APLN;;;;FOUND
Frederic;1137;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Felip;1152;PN;FT; ; ;not; ; ; ; ;FOUND
Emanuel;1164;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
De;1598;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Mando;1629;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;1956;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
De;2472;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;2504;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;2895;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Mando;2956;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
cosa;3630;APLN;AT;http://pleiades.stoa.org/places/246360;null;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Pleiades;VALIDATE
Pascua;4269;UN;UNI;;;not;;;;;UNIDENTIFIED
Que;4302;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;4338;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;5290;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;5363;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
dias;5832;APLN;AT;http://pleiades.stoa.org/places/642516;null;yes;CN;;An ancient place, cited: BAtlas 65 unlocated Dias;Pleiades;VALIDATE
De;5920;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;5955;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;6265;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;6292;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;6354;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;6382;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;7551;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;7580;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Et;7696;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Que;8097;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;8151;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;8434;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;8482;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;8720;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;8991;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;9039;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Et ;9291;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;10353;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;10385;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;11134;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;11183;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;11748;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;11793;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;12119;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;12181;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Sant Martin;12230;PSTN;PPT;;;;;;;;VALIDATE
Sant Martin;12251;PSTN;PPT;;;;;;;;VALIDATE
De;13470;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;13514;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;14096;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;14171;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;14533;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Ferrando;14581;PN;FT; ; ;not; ; ; ; ;FOUND
Que;14773;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;14830;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;15168;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;15207;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;15930;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;16016;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;16444;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;16472;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;16901;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;16931;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;17379;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
De;17692;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
De;18012;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;18041;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;18379;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;18410;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;18951;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;19013;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;19345;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Sant Migael;19468;PSTN;PPT;;;;;;;;VALIDATE
Que;19815;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;19850;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;20023;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;20081;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;20467;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;20485;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Calatraua;20684;PN;FT;;;;;;;;FOUND
Vcles;20700;PLN;FT;http://pleiades.stoa.org/places/265983;Uclés;not;;;null;Medieval;FOUND
Alcantara;20712;PLN;FT;http://sws.geonames.org/10241080; ;not;;;null;Geonames;FOUND
Temple;20729;PLN;FT;http://sws.geonames.org/3108180; ;not;;;null;Geonames;FOUND
Hospital;20743;PLN;FT;http://sws.geonames.org/3120627; ;not;;;null;Geonames;FOUND
De;20948;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;21401;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;21679;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;21756;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;21915;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
De;21982;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;21998;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;22088;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;22185;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Que;22411;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;22445;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;23034;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrosi;23087;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;24201;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Que;24259;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;24292;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;24725;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;24785;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Otrossi;24794;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso ;24937;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Miramomelin;25034;PN;FT;;;;;;;;FOUND
Otrossi;25197;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;26120;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;26188;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;26358;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;26428;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Que;26499;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;26534;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
De;27245;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;27279;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;27781;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;27832;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;28039;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
