TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Alfonso;5;PN;FT;;;yes;APLN;;;;FOUND
Dios;31;PN;FT;;;;;;;;FOUND
Castiella;44;PLN;FT; ;Castilla;not;;;null;Freeling;FOUND
Toledo;57;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Freeling;FOUND
Leon;67;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Freeling;FOUND
Gallizia;75;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Freeling;FOUND
Seuilla;87;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Freeling;FOUND
Cordoua;98;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Freeling;FOUND
Murcia;109;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;;null;Freeling;FOUND
Jahen;119;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Freeling;FOUND
Alcala;140;PLN;FT;http://pleiades.stoa.org/places/246352;Alcalá de Henares;not;;;null;Freeling;FOUND
Alfonso;233;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Ferrando;268;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;447;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;497;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;536;PN;FT;;;;;;;;FOUND
Alfonso;1077;PN;FT;;;yes;APLN;;;;FOUND
Molina;1088;PN;FT;;;yes;APLN;;;;FOUND
Frederic;1119;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Felip;1134;PN;FT; ; ;not; ; ; ; ;FOUND
Emanuel;1146;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
cosa;3612;APLN;AT;http://pleiades.stoa.org/places/246360;null;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Pleiades;VALIDATE
Pascua;4251;UN;UNI;;;not;;;;;UNIDENTIFIED
dias;5814;APLN;AT;http://pleiades.stoa.org/places/642516;null;yes;CN;;An ancient place, cited: BAtlas 65 unlocated Dias;Pleiades;VALIDATE
Et;7678;PPLN;PPT;;;not;;;;;VALIDATE
Sant Martin;12212;PSTN;PPT;;;;;;;;VALIDATE
Sant Martin;12233;PSTN;PPT;;;;;;;;VALIDATE
Alfonso;14515;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Ferrando;14563;PN;FT; ; ;not; ; ; ; ;FOUND
Sant Migael;19450;PSTN;PPT;;;;;;;;VALIDATE
Calatraua;20666;PN;FT;;;;;;;;FOUND
Vcles;20682;PPLN;PPT;;;not;;;;;VALIDATE
Alcantara;20694;PLN;FT;http://sws.geonames.org/10241080; ;not;;;null;Geonames;FOUND
Temple;20711;PLN;FT;http://sws.geonames.org/3108180; ;not;;;null;Geonames;FOUND
Hospital;20725;PLN;FT;http://sws.geonames.org/3120627; ;not;;;null;Geonames;FOUND
Alfonso;21738;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;21897;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;22070;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;22167;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;24183;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;24767;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;24919;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Miramomelin;25016;PN;FT;;;;;;;;FOUND
Alfonso;26340;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;26410;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;28384;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;28576;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;28909;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Pedro;31930;PN;FT;;;yes;APLN;;;;FOUND
Perez;31936;PN;FT;;;;;;;;FOUND
Segouia;31945;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;;null;Freeling;FOUND
Alfonso;32035;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;32060;PN;FT;;;;;;;;FOUND
Castiella;32073;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;32088;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;32098;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;32106;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilia;32118;PPLN;GENT;http://sws.geonames.org/2510911/;Sevilla;not;;; ;Medieval;VALIDATE
Cordoua;32129;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;32140;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;32152;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Alcoçer;32180;PPLN;PPT;;;not;;;;;VALIDATE
Vhepte;32198;PPLN;PPT;;;not;;;;;VALIDATE
Sancho;32705;APLN;AT;http://sws.geonames.org/9170929; ;yes;PN; ;null;Geonames;VALIDATE
Perez;32712;PN;FT;;;;;;;;FOUND
Alfonso;32850;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;32875;PN;FT;;;;;;;;FOUND
Castiella;32888;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;32901;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;32911;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;32919;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;32931;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;32942;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;32953;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Iaen;32965;PPLN;PPT;;;not;;;;;VALIDATE
Yolant;32997;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Cuenca;33056;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Focalcaçar;33311;PPLN;PPT;;;not;;;;;VALIDATE
Aluar;33795;PN;FT;;;;;;;;FOUND
Garçia;33801;PN;FT;;;;;;;;FOUND
Fromesta;33811;PPLN;PPT;;;not;;;;;VALIDATE
Alfonso;33839;PN;FT;;;yes;APLN;;;;FOUND
Dios;33865;PN;FT;;;;;;;;FOUND
Castiella;33878;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;33891;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;33901;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;33909;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilia;33921;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;; ;Medieval;FOUND
Cordoua;33932;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murçia;33943;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;;null;Freeling;FOUND
Jahen;33955;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Ferrando;34063;PN;FT; ; ;not; ; ; ; ;FOUND
Sant;34172;PPLN;PPT;;;not;;;;;VALIDATE
Medina;34193;PPLN;GENT;;;not;;;;;VALIDATE
Cuenca;34236;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huepte;34251;PPLN;PPT;;;not;;;;;VALIDATE
Molina;34271;PN;FT;;;;;;;;FOUND
Beteta;34314;PLN;FT;http://sws.geonames.org/6357394; ;not;;;null;Geonames;FOUND
Huelamo;34329;PPLN;PPT;;;not;;;;;VALIDATE
Sant;34518;PPLN;PPT;;;not;;;;;VALIDATE
Medina;34539;PPLN;GENT;;;not;;;;;VALIDATE
Cuenca;34579;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huepte;34594;PPLN;PPT;;;not;;;;;VALIDATE
Molina;34614;PN;FT;;;;;;;;FOUND
Taio;34636;PPLN;GENT;http://sws.geonames.org/6357350; ; ; ; ;null;Geonames;VALIDATE
Beteta;34653;PLN;FT;http://sws.geonames.org/6357394; ;not;;;null;Geonames;FOUND
Huelamo;34668;PPLN;PPT;;;not;;;;;VALIDATE
Ferrando;34768;PN;FT; ; ;not; ; ; ; ;FOUND
Martin;35680;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonso;35713;PN;FT;;;yes;APLN;;;;FOUND
Dios;35739;PN;FT;;;;;;;;FOUND
Castilla;35752;PLN;FT;http://sws.geonames.org/9404707; ;not;;;null;Geonames;FOUND
Toledo;35764;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;35774;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;35782;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;35794;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;35805;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murçia;35816;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;35829;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Toledo;35973;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Toledo;36084;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Toledo;36995;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Mayo;42189;PPLN;PPT;;;not;;;;;VALIDATE
Alfonsso;42340;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonso;42361;PN;FT;;;yes;APLN;;;;FOUND
Dios;42387;PN;FT;;;;;;;;FOUND
Castilla;42400;PLN;FT;http://sws.geonames.org/9404707; ;not;;;null;Geonames;FOUND
Toledo;42412;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;42422;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;42430;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuillia;42442;PPLN;GENT;;Sevilla;not;;; ;Medieval;VALIDATE
Cordoua;42454;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;42465;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;42477;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Ferrand;42490;PN;FT;;;;;;;;FOUND
Godiel;42498;UN;UNI;;;not;;;;;UNIDENTIFIED
Toledo;42518;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Toledo;42710;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Santa;42787;PPLN;PPT;;;not;;;;;VALIDATE
Maria;42794;PN;FT;;;;;;;;FOUND
Toledo;42803;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Toledo;42959;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Toledo;42996;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Johan;43194;PN;FT;;;;;;;;FOUND
Perez;43200;PN;FT;;;;;;;;FOUND
Berlanga;43209;PLN;FT;http://sws.geonames.org/6355884; ;not;;;null;Geonames;FOUND
Alfonsso;43379;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;43405;PN;FT;;;;;;;;FOUND
Castiella;43418;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;43431;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;43441;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;43449;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;43461;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;43472;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;43483;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;43495;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Yolant;43528;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;43578;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Beatriz;43609;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10241696;null;Geonames;FOUND
Dios;43660;PN;FT;;;;;;;;FOUND
Dios;43749;PN;FT;;;;;;;;FOUND
Dios;43794;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;44495;PN;FT;;;;;;;;FOUND
Sancta;44505;PPN;GENT;;;;;;;;VALIDATE
Maria;44513;PN;FT; ; ;not; ; ; ; ;FOUND
Cuenca;44724;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
cosa;45245;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Dios;45264;PN;FT;;;;;;;;FOUND
Odoart;45606;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Henrric;45645;PN;FT;;;;;;;;FOUND
Henrric;45645;PN;FT;;;;;;;;FOUND
Anglatierra;45656;PPLN;PPT;;;not;;;;;VALIDATE
Alfonso;45710;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;45759;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Yolant;45801;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;45851;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Beatriz;45882;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10241696;null;Geonames;FOUND
Alfonso;46053;PN;FT;;;yes;APLN;;;;FOUND
Molina;46064;PN;FT;;;yes;APLN;;;;FOUND
Frederic;46086;PPN;PPT;;;yes;APLN;;;;VALIDATE
Henrric;46110;PN;FT;;;yes;APLN;;;;FOUND
