TERM;CURRENT-NAME;PLEIADES-URI;GEONAMES-URI;DESCRIPTION;TYPE-TERM;DOCUMENT;GAZETTEER-PROVENNANCE
Alcala;Alcalá de Henares;http://pleiades.stoa.org/places/246352;http://sws.geonames.org/3130616/; ; ;TEXT.ACN;Freeling
Alcala de Guadayra;Alcalá de Guadaira; ;http://sws.geonames.org/2522165/;null; ; ; 
Alcala del Rio;Alcalá del Rio;https://pleiades.stoa.org/places/256222/;http://www.geonames.org/6360960/;null; ; ; 
Alcalá de Guadaira;Alcalá de Guadaira; ;http://sws.geonames.org/2522165/;null; ; ; 
Alcalá del Río;Alcalá del Rio;https://pleiades.stoa.org/places/256222/;http://www.geonames.org/6360960/;null; ; ; 
Algacila; ; ; ;null; ; ; 
Algazila; ; ; ;null; ; ; 
Alguazila; ; ; ;null; ; ; 
Almonaster;Almonaster la Real; ;http://www.geonames.org/2521859/;null; ; ; 
Almonaster la Real;Almonaster la Real; ;http://www.geonames.org/2521859/;null; ; ; 
Aloquaz;Torres Alocaz;https://pleiades.stoa.org/places/256501; ;null; ; ; 
Andalucía;Andaluzia; ;http://sws.geonames.org/2593109/ ;null; ; ; 
Andaluzia;Andalucía; ;http://sws.geonames.org/2593109/; ; ;TEXT.ACN;Freeling
Andeualo;El Cerro de Andévalo?; ;http://www.geonames.org/2518575/;null; ; ; 
Aracena;Aracena; ;http://www.geonames.org/2521694/;null; ; ; 
Aragon;Aragón; ;http://sws.geonames.org/3129906/; ; ;TEXT.ACN;Freeling
Arcos;Arcos de la Frontera;http://pleiades.stoa.org/places/255981;http://sws.geonames.org/2521665/;null; ; ; 
Arcos de la Frontera;Arcos de la Frontera;http://pleiades.stoa.org/places/255981;http://sws.geonames.org/2521665/;null; ; ; 
Aroche;Aroche; ;http://www.geonames.org/2521585/;null; ; ; 
Atiença; ; ;http://sws.geonames.org/6357841;null;GENT;TEXT.ACN;Geonames
Auila;�?vila;http://pleiades.stoa.org/places/236361;http://sws.geonames.org/6355632/; ; ;TEXT.ACN;Freeling
Axaraf de Seuilla;El Aljarafe; ;http://sws.geonames.org/2518744/;null; ; ; 
Axaraffe;El Aljarafe; ;http://sws.geonames.org/2518744/ ;null; ; ; 
Ayamonte;Ayamont;https://pleiades.stoa.org/places/256348;http://www.geonames.org/2521456/;null; ; ; 
Badaioz;Badajoz; ;http://sws.geonames.org/2521420/;null; ; ; 
Badajioz;Badajoz; ;http://sws.geonames.org/2521420/;null; ; ; 
Badajoz;Badajoz; ;http://sws.geonames.org/2521420/;null; ; ; 
Badalloz;Badajoz; ;http://sws.geonames.org/2521420/;null; ; ; 
Badalloç;Badajoz; ;http://sws.geonames.org/2521420/;null; ; ; 
Baeza;Baeza;https://pleiades.stoa.org/places/266099;http://www.geonames.org/2521413/;null; ; ; 
Baeça;Baeza;https://pleiades.stoa.org/places/266099;http://www.geonames.org/2521413/;null; ; ; 
Benacazon;Benacazón; ;http://www.geonames.org/2521154/;null; ; ; 
Benacazón;Benacazón; ;http://www.geonames.org/2521154/;null; ; ; 
Biçena;Lopera; ;http://sws.geonames.org/2514896/;null; ; ; 
Boriauenzohar;Benacazón; ;http://www.geonames.org/2521154/;null; ; ; 
Bormujos;Bormujos; ;http://sws.geonames.org/2520833/;null; ; ; 
Cabeça; ; ;http://sws.geonames.org/9167635;null;GENT;TEXT.ACN;Geonames
Cantillana;Cantillana;https://pleiades.stoa.org/places/256323;http://www.geonames.org/2520215/;null; ; ; 
Carmo;Carmona;https://pleiades.stoa.org/places/256058;http://www.geonames.org/6360979/;null; ; ; 
Carmona;Carmona;https://pleiades.stoa.org/places/256058;http://www.geonames.org/6360979/;null; ; ; 
Carthagena; ; ;http://sws.geonames.org/6359521;null;GENT;TEXT.ACN;Geonames
Castelle; ; ;http://sws.geonames.org/6355429;null;GENT;TEXT.ACN;Geonames
Castiella;Castilla; ; ;null; ; ; 
Castiello de Cot;Castillo de Cote; ;http://www.geonames.org/maps/google_36.9_-5.52.html ;null; ; ; 
Castilla;Castiella; ; ;null; ; ; 
Castillo de Cote;Castillo de Cote; ;http://www.geonames.org/maps/google_36.9_-5.52.html;null; ; ; 
Ceret;Jerez;http://pleiades.stoa.org/places/256091/;http://www.geonames.org/6356935/;null; ; ; 
Cisneros;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;medieval
Constantina;Constantina; ;http://www.geonames.org/2519278/;null; ; ; 
Constantinopla;Constantinopla /Estambul; ;http://sws.geonames.org/745042/; ;GENT;TEXT.ACN;Medieval
Cora; ;http://pleiades.stoa.org/places/422909; ;A Latin center in the Monti Lepini that was already a Roman municipium by 211 B.C.; ;TEXT.ACN;Pleiades
Cordoua;Córdoba;http://pleiades.stoa.org/places/256128;http://sws.geonames.org/6357216/ ;null; ; ; 
